trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Hello.started,text_2.started,Hello.stopped,guidelines.started,guideline.started,key_resp.started,guidelines.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,num_distr,mouse.started,polygon.started,target.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Thank_you.started,text_3.started,Thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
51,0,51,0,91.52550079999492,,,,,,,,,,,,91.48499209992588,10,0.02950129983946681,91.52550079999492,91.52550079999492,95.94486919976771,[-0.006510416666666667],[0.4609375],[1],[0],[0],[4.459429000038654],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
52,0,52,0,95.97021279996261,,,,,,,,,,,,95.94775169994682,5,0.015176400076597929,95.97021279996261,95.97021279996261,97.64292600005865,[0.3893229166666667],[-0.3294270833333333],[1],[0],[0],[1.6947608003392816],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
53,0,53,0,97.68601249996573,,,,,,,,,,,,97.64579239999875,10,0.028805000241845846,97.68601249996573,97.68601249996573,99.00806460017338,[0.15625],[-0.45703125],[1],[0],[0],[1.3618420995771885],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
54,0,54,0,99.05082109989598,,,,,,,,,,,,99.01096480013803,10,0.029026000294834375,99.05082109989598,99.05082109989598,100.47345799999312,[-0.11067708333333333],[0.1015625],[1],[0],[0],[1.4620944000780582],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
55,0,55,0,100.49929219996557,,,,,,,,,,,,100.47646410018206,5,0.015705800149589777,100.49929219996557,100.49929219996557,101.78849019994959,[-0.37890625],[-0.3307291666666667],[1],[0],[0],[1.311609299853444],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
56,0,56,0,101.83131529996172,,,,,,,,,,,,101.79128920007497,10,0.029086099937558174,101.83131529996172,101.83131529996172,103.28681840002537,[-0.3880208333333333],[-0.4231770833333333],[1],[0],[0],[1.4951073001138866],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
57,0,57,0,103.33044000016525,,,,,,,,,,,,103.28964209975675,10,0.029902600217610598,103.33044000016525,103.33044000016525,105.1859007999301,[0.4114583333333333],[-0.10026041666666667],[1],[0],[0],[1.8958300002850592],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
58,0,58,0,105.22903809975833,,,,,,,,,,,,105.18872659979388,10,0.029469499830156565,105.22903809975833,105.22903809975833,106.51716909976676,[0.13151041666666666],[-0.040364583333333336],[1],[0],[0],[1.3280352000147104],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
59,0,59,0,106.559721800033,,,,,,,,,,,,106.52000139979646,10,0.02888560015708208,106.559721800033,106.559721800033,107.86582239996642,[0.12760416666666666],[-0.3893229166666667],[1],[0],[0],[1.3453898001462221],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
60,0,60,0,107.89212360000238,,,,,,,,,,,,107.86872939998284,5,0.015699099749326706,107.89212360000238,107.89212360000238,109.31470869993791,[-0.36328125],[-0.24609375],[1],[0],[0],[1.4455621996894479],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
